nx,nup,ndown,e_dmrg (last sweep),extrap. maxerr -> 0,diff/Ns,% diff,stat err,sys err,total err,data points
6,9,9,-51.69548128,-51.69962897,1.15E-04,8.02E-03,1.00E-04,1.71E-04,1.98E-04,last 3-5
8,12,12,-69.91394748,-69.92950787,3.24E-04,2.23E-02,3.29E-04,2.54E-04,4.16E-04,last 3-5
10,15,15,-88.16116075,-88.203959,7.13E-04,4.85E-02,1.15E-03,1.52E-03,1.90E-03,last 3-5
12,18,18,-106.46255613,-106.5343206,9.97E-04,6.74E-02,1.13E-03,1.83E-03,2.15E-03,last 3-5
14,21,21,-124.9137565,-125.031106,1.40E-03,9.39E-02,1.60E-03,3.12E-03,3.51E-03,last 3-5
16,24,24,-143.3088102,-143.4648016,1.62E-03,1.09E-01,0.00E+00,7.10E-03,7.10E-03,last 3-5
