# nx,nup,ndown,e_ghf,e_cpmc,err_cpmc,trial
6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,-5.170301706099597538e+01,1.469291833969496282e-03,fe
8.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,-6.993929725870961533e+01,1.614140160599659025e-03,fe
1.000000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,-8.819761390501608389e+01,1.942880747142195028e-03,fe
1.200000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,-1.065268590103530784e+02,2.043487355638395550e-03,cas
