# nx,nup,ndown,e_ghf,e_cpmc,err_cpmc,time,trial,
6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,-4.949157194764597989e+01,1.938604744688978039e-03,8.230000000000000000e+02,fe
8.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,-6.693399219962194024e+01,2.116221700295357888e-03,1.230000000000000000e+03,fe
1.000000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,-8.440646145453088423e+01,2.449492033239369752e-03,1.830000000000000000e+03,fe
1.400000000000000000e+01,2.100000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,-1.196045025308575163e+02,2.927939706878868436e-03,1.330000000000000000e+04,cas
1.600000000000000000e+01,2.400000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,-1.372367418862494617e+02,3.256801540133278522e-03,1.910000000000000000e+04,cas
2.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,-1.724363385269977300e+02,3.705392631826604118e-03,4.310000000000000000e+04,cas
2.400000000000000000e+01,3.600000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00,-2.075499589445533104e+02,4.216444343975294176e-03,2.130000000000000000e+04,fe
2.600000000000000000e+01,3.900000000000000000e+01,3.900000000000000000e+01,0.000000000000000000e+00,-2.252106636704395157e+02,4.405309082816831999e-03,1.460000000000000000e+04,fe
2.800000000000000000e+01,4.200000000000000000e+01,4.200000000000000000e+01,0.000000000000000000e+00,-2.428600205489495920e+02,4.656175833734212989e-03,1.750000000000000000e+04,fe
3.000000000000000000e+01,4.500000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00,-2.604864320234283923e+02,4.944145442122582952e-03,2.220000000000000000e+04,fe
3.200000000000000000e+01,4.800000000000000000e+01,4.800000000000000000e+01,0.000000000000000000e+00,-2.780936738235266716e+02,5.273688546057945722e-03,2.720000000000000000e+04,fe
