nx,nup,ndown,e_dmrg (last sweep),extrap. maxerr -> 0,diff/Ns,% diff,stat err,sys err,total err,data points
6,9,9,-55.43876727,-55.44130333,7.04E-05,4.57E-03,7.93E-05,1.13E-04,1.38E-04,last 3-5
8,12,12,-74.96778258,-74.97891421,2.32E-04,1.48E-02,3.37E-04,2.86E-04,4.42E-04,last 3-5
10,15,15,-94.53003287,-94.56384762,5.64E-04,3.58E-02,1.20E-03,1.76E-03,2.13E-03,last 3-5
12,18,18,-114.23741460,-114.3038388,9.23E-04,5.81E-02,9.41E-04,5.29E-04,1.08E-03,last 3-5
14,21,21,-134.0206037,-134.1385399,1.40E-03,8.79E-02,8.53E-03,1.28E-02,1.54E-02,last 3-5
16,24,24,-153.7557463,-153.8896081,1.39E-03,8.70E-02,2.44E-03,3.70E-03,4.43E-03,last 3-5
