# nx,nup,ndown,e_ghf,e_cpmc,err_cpmc,trial
6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,-5.543995542551544276e+01,5.529852143709677870e-04,fe
8.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,-7.497882415277429402e+01,6.438952717079932499e-04,fe
1.000000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,-9.455331506291524590e+01,7.242421577309388200e-04,fe
1.200000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,-1.142540718472354939e+02,7.334732580416232278e-04,cas
