# nx,nup,ndown,e_ghf,e_cpmc,err_cpmc,trial
6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,-4.948783655427764927e+01,2.179475820212274997e-03,fe
8.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,-6.694056563695252748e+01,2.578058444388035744e-03,fe
1.000000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,-8.440754629805000775e+01,3.044417822740691764e-03,fe
1.200000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,-1.019304937628704977e+02,3.297717610057452828e-03,cas
