# nx,nup,ndown,n_walkers,n_eql,e_ghf,e_cpmc,err_cpmc,time,trial,
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-2.047284890475150476e+01,1.606077774837445099e-03,4.390000000000000000e+02,fe
8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-4.300741343386007287e+01,2.397450432836603987e-03,5.690000000000000000e+02,fe
1.200000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-6.563276787606342566e+01,2.921817466990258693e-03,8.150000000000000000e+02,fe
1.600000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-8.827267894408625182e+01,3.364851211712792129e-03,1.470000000000000000e+03,fe
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.109328783396464360e+02,3.518930256356439957e-03,2.270000000000000000e+03,fe
2.400000000000000000e+01,2.400000000000000000e+01,2.400000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.335908153602385653e+02,4.300698356333147385e-03,4.070000000000000000e+03,fe
2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.562492478111002754e+02,4.677503064016159083e-03,6.070000000000000000e+03,fe
3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+02,3.000000000000000000e+02,0.000000000000000000e+00,-1.674887552421749888e+02,5.219621284221402299e-03,8.830000000000000000e+03,fe
3.600000000000000000e+01,3.600000000000000000e+01,3.600000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-2.015796179505037742e+02,5.366439414689293946e-03,1.270000000000000000e+04,fe
4.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,-2.242480353303984373e+02,5.998271459154232328e-03,1.070000000000000000e+04,fe
