nx,nup,ndown,e_dmrg (last sweep),extrap. maxerr -> 0,diff/Ns,% diff,stat err,sys err,total err,data points
8,8,8,-44.89888247,-44.899188,9.56E-06,6.82E-04,9.35E-06,2.15E-05,2.34E-05,last 3-5
12,12,12,-68.49284483,-68.49795888,1.07E-04,7.47E-03,8.67E-05,3.89E-05,9.50E-05,last 3-5
16,16,16,-92.10489072,-92.11887677,2.19E-04,1.52E-02,1.26E-03,4.36E-04,1.33E-03,last 3-5
20,20,20,-115.7216634,-115.7585069,4.61E-04,3.18E-02,1.79E-03,3.41E-03,3.85E-03,last 3-5
