# nx,nup,ndown,n_walkers,n_eql,e_ghf,e_cpmc,err_cpmc,time,trial,
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-2.139414195093888793e+01,1.065163091793248614e-03,6.020000000000000000e+02,fe
8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-4.491358382981069042e+01,1.594442775760831826e-03,5.630000000000000000e+02,fe
1.200000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-6.852738630367944950e+01,1.822922913845532707e-03,8.170000000000000000e+02,fe
1.600000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-9.216060554260823778e+01,2.009660683173929673e-03,1.450000000000000000e+03,fe
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.158051420956312541e+02,2.281168331151731555e-03,2.290000000000000000e+03,fe
2.400000000000000000e+01,2.400000000000000000e+01,2.400000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.394540762247951875e+02,2.457840667057197438e-03,4.070000000000000000e+03,fe
2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-1.631070840492225500e+02,2.703367108324132573e-03,6.060000000000000000e+03,fe
3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+02,3.000000000000000000e+02,0.000000000000000000e+00,-1.748387702528140437e+02,2.957916533311270683e-03,8.670000000000000000e+03,fe
3.600000000000000000e+01,3.600000000000000000e+01,3.600000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,-2.104161245174631176e+02,3.455612103769271221e-03,1.240000000000000000e+04,fe
4.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,-2.340721365555071145e+02,3.205314402616441394e-03,1.080000000000000000e+04,fe
