nx,nup,ndown,e_dmrg (last sweep),extrap. maxerr -> 0,diff/Ns,% diff,stat err,sys err,total err,data points
8,8,8,-42.96788075,-42.968257,1.18E-05,8.76E-04,7.93E-06,1.91E-05,2.07E-05,last 3-5
12,12,12,-65.55584146,-65.56132464,1.14E-04,8.36E-03,9.41E-05,2.28E-04,2.47E-04,last 3-5
16,16,16,-88.16072000,-88.17650816,2.47E-04,1.79E-02,5.88E-04,7.51E-04,9.54E-04,last 3-5
20,20,20,-110.7700809,-110.8092325,4.89E-04,3.53E-02,1.80E-03,5.01E-03,5.32E-03,last 2-4
