nx,nup,ndown,e_dmrg (last sweep),extrap. maxerr -> 0,diff/Ns,% diff,stat err,sys err,total err,data points
8,8,8,-48.21514657,-48.215334,5.84E-06,3.88E-04,2.94E-06,1.01E-05,1.05E-05,last 3-5
12,12,12,-73.50452794,-73.50928575,9.91E-05,6.47E-03,2.04E-04,3.16E-04,3.76E-04,last 3-5
16,16,16,-98.81318848,-98.82844862,2.38E-04,1.54E-02,5.15E-04,5.08E-04,7.23E-04,last 3-5
20,20,20,-124.1268045,-124.1681305,5.17E-04,3.33E-02,1.00E-03,1.65E-03,1.93E-03,last 3-5
